State,Total,Male,Female,IT,IM,IF,LT,LM,LF,NoT,NoM,NoF,BPT,BPM,BPF,PT,PM,PF,MT,MM,MF,ST,SM,SF,HT,HM,HF,GT,GM,GF,Area,Density,UrbanPop,Prev
MEGHALAYA,2318822,1176087,1142735,1160947,561815,599132,1157875,614272,543603,44773,24987,19786,466756,240076,226680,259627,132392,127235,150587,81046,69541,129021,74479,54542,106925,61158,45767,91,77,14,22429,103,454111,1774778
MIZORAM,888573,459109,429464,227128,109004,118124,661445,350105,311340,14841,7018,7823,239221,118903,120318,174269,93007,81262,123034,65909,57125,57269,31931,25338,52727,33271,19456,37,28,9,21081,42,441006,689756
NAGALAND,1990036,1047141,942895,857713,406940,450773,1132323,640201,492122,32467,18164,14303,229652,121699,107953,310520,166630,143890,229783,129968,99815,184401,111442,72959,144826,91836,52990,456,342,114,1483,9340,342787,1209546
NCT OF DELHI,13850507,7607234,6243273,4185743,1906387,2279356,9664764,5700847,3963917,96319,54600,41719,1534913,852975,681938,1967466,1093728,873738,1531690,929152,602538,1691495,1077847,613648,2832287,1686215,1146072,8747,5019,3728,16579,120,12905780,9420644
ODISHA,36804660,18660570,18144090,16967605,6668237,10299368,19837055,11992333,7844722,427084,278436,148648,5755797,3328385,2427412,5798954,3280957,2517997,2875760,1783236,1092524,2616294,1665245,951049,2353305,1647711,705594,8944,7495,1449,155707,236,5517238,31659736
PUDUCHERRY,974345,486961,487384,277978,108203,169775,696367,378758,317609,10668,6038,4630,96631,48838,47793,182684,90538,92146,141966,74858,67108,125899,73213,52686,137294,84435,52859,1219,835,384,479,2034,648619,807785
PUNJAB,24358999,12985045,11373954,9602029,4542752,5059277,14756970,8442293,6314677,245444,125467,119977,2705535,1538004,1167531,3785055,1997111,1787944,2498421,1480902,1017519,3251624,1995039,1256585,2247726,1295433,952293,19906,8343,11563,50362,484,8262511,20281969
RAJASTHAN,56507188,29420011,27087177,28805178,11372854,17432324,27702010,18047157,9654853,1745915,864680,881235,8994262,5247851,3746411,7047927,4591114,2456813,4330343,3163807,1166536,2903808,2190474,713334,2672686,1983745,688941,7034,5456,1578,342239,165,13214375,44005990
SIKKIM,540851,288484,252367,222516,99424,123092,318335,189060,129275,7680,5504,2176,109121,63583,45538,84475,48077,36398,47836,27788,20048,35862,22157,13705,33134,21737,11397,46,38,8,7096,76,59870,406457
TAMIL NADU,62405679,31400909,31004770,21881134,8591247,13289887,40524545,22809662,17714883,4184273,2372243,1812030,6492687,3432035,3060652,11652060,6365777,5286283,6967676,3793706,3173970,6005920,3626919,2379001,5185110,3191220,1993890,36055,27213,8842,130058,480,27483998,55858946
TELANGANA,76210007,38527413,37682594,36275684,15082625,21193059,39934323,23444788,16489535,1491086,838354,652732,9808301,5253668,4554633,12365169,6789316,5575853,4086083,2422208,1663875,5756834,3659857,2096977,6379031,4444887,1934144,44127,34006,10121,275045,277,20808940,66508008
TRIPURA,3199203,1642225,1556978,1177104,491518,685586,2022099,1150707,871392,27812,15172,12640,648085,348424,299661,641795,353322,288473,388737,225256,163481,159611,101656,57955,155816,106699,49117,116,100,16,10486,305,545750,2757205
UTTAR PRADESH,166197921,87565369,78632552,90478637,38663956,51814681,75719284,48901413,26817871,3272335,1961714,1310621,19226939,11278968,7947971,18694554,11368153,7326401,14329834,9819868,4509966,9121682,6561958,2559724,11026068,7877553,3148515,30477,21973,8504,240928,690,34539582,132061653
UTTARAKHAND,8489349,4325924,4163425,3383567,1317049,2066518,5105782,3008875,2096907,109432,60951,48481,1156890,625981,530909,1275501,696187,579314,977893,613423,364470,643644,423212,220432,939669,587459,352210,1481,1018,463,53483,159,2179074,7050634
WEST BENGAL,80176197,41465985,38710212,32979796,14013559,18966237,47196401,27452426,19743975,892580,522069,370511,16347698,8924186,7423512,11449999,6340039,5109960,8050643,4770466,3280177,4859685,3073368,1786317,5569288,3802135,1767153,5196,4228,968,88752,903,22427251,68077965
