Cluster_higher_urban,Cluster_literacy_density,Cluster_male_female_literacy,State,Area,BPF,BPM,BPT,Density,Density rate,Female,GF,GM,Growth Rate,GT,HF,Higher,Higher Male,higher_female,HM,HT,IF,IM,IT,LF,Literacy,Literacy Female,Literacy Male,LM,LT,Male,MF,MM,MT,No F,No M,No T,PF,PM,Prev,PT,SF,SM,ST,Total,Urban Pop,Urban Rate
Cluster 1,Cluster 1,Cluster 3,UTTARAKHAND,53483,480153,554430,1034583,189,0.190702255,4948519,398220,512068,0.188111362,910288,318159,0.270245398,0.223883550,0.223883550,477837,795996,1931274,1274065,3205339,3017245,0.682208387,0.609726870,0.752019990,3863708,6880953,5137773,600101,806770,1406871,73010,72896,145906,747518,803056,8489349,1550574,391513,627977,1019490,10086292,3049338,0.302324977
Cluster 1,Cluster 2,Cluster 3,WEST BENGAL,88752,7465147,8437465,15902612,1028,0.137956893,44467088,1739144,3088673,0.138444057,4827817,2369875,0.175481570,0.143668346,0.143668346,3388730,5758605,16747617,12990217,29737834,27719471,0.674199170,0.623370503,0.722484789,33818810,61538281,46809027,5789837,6684464,12474301,914793,1048966,1963759,7057564,7897027,80176197,14954591,2279494,3151360,5430854,91276115,29093002,0.318736199
Cluster 2,Not Clustered,Cluster 1,CHANDIGARH,114,39658,51211,90869,9258,0.171853192,474787,89705,104748,0.171895385,194453,49536,0.435420911,0.407395316,0.407395316,73370,122906,134695,115317,250012,340092,0.763122839,0.716304364,0.801404601,465346,805438,580663,43915,67964,111879,5668,5586,11254,56598,73645,900635,130243,54185,88021,142206,1055450,1026459,0.972532095
Cluster 2,Cluster 1,Cluster 1,GOA,3702,80806,80497,161303,394,0.082305137,719405,72751,74077,0.082273230,146828,92597,0.376578714,0.345324261,0.345324261,124454,217051,169741,123317,293058,549664,0.799075106,0.764053628,0.833161512,615823,1165487,739140,74807,91716,166523,54305,45518,99823,87195,94300,1347668,181495,83080,102298,185378,1458545,906814,0.621725075
Cluster 2,Not Clustered,Cluster 1,NCT OF DELHI,1483,661086,796975,1458061,11320,0.212053826,7800615,1221872,1535972,0.212081334,2757844,706981,0.396100808,0.358565831,0.358565831,998578,1705559,2257704,1792470,4050174,5542911,0.758745042,0.710573589,0.800555805,7194856,12737767,8987326,831453,1099958,1931411,213503,239952,453455,1033272,1197622,13850507,2230894,868181,1318133,2186314,16787941,16368899,0.975039107
Cluster 3,Cluster 3,Cluster 1,DAMAN & DIU,111,11291,15332,26623,2191,0.537262016,92946,4377,8425,0.537552780,12802,7926,0.319798394,0.257332214,0.257332214,17573,25499,29183,25658,54841,63763,0.774546038,0.686021991,0.829289226,124643,188406,150301,10834,24792,35626,2156,4342,6498,15399,26048,158204,41447,11615,27874,39489,243247,182851,0.751709168
Cluster 3,Cluster 1,Cluster 1,KERALA,38852,2324577,2076920,4401497,860,0.049349190,17378649,1399985,1131336,0.049140059,2531321,3004425,0.366335828,0.365435714,0.365435714,2849702,5854127,2947728,2322509,5270237,14430921,0.842237102,0.830382212,0.855091452,13704903,28135824,16027412,2469026,2590783,5059809,712170,601366,1313536,2543414,2522296,31841374,5065710,1946369,1906020,3852389,33406061,15934926,0.477007032
Cluster 3,Cluster 3,Cluster 1,LAKSHADWEEP,30,4887,4523,9410,2149,0.062984336,31350,844,1458,0.063033800,2302,3120,0.251578180,0.206921850,0.206921850,5023,8143,6820,5100,11920,24530,0.815116405,0.782456140,0.846028439,28023,52553,33123,5335,5970,11305,1479,1250,2729,6313,6500,60650,12813,2523,3252,5775,64473,50332,0.780667876
Cluster 3,Cluster 1,Cluster 1,MAHARASHTRA,307713,7266014,8069806,15335820,365,0.159339769,54131277,3471410,5167671,0.159949686,8639081,3882481,0.288583203,0.240150071,0.240150071,6347942,10230423,17834571,12985472,30820043,36296706,0.725737700,0.670531124,0.777046864,45257584,81554290,58243056,5460199,7132530,12592729,2048132,2079746,4127878,8282058,8346143,96878627,16628201,5645739,7914102,13559841,112374333,50818259,0.452223009
Cluster 3,Cluster 3,Cluster 1,PUDUCHERRY,490,48024,45162,93186,2547,0.280891265,635442,62547,79482,0.280812238,142029,77195,0.383287672,0.336488617,0.336488617,97275,174470,175511,115133,290644,459931,0.767103409,0.723796979,0.812031131,497378,957309,612511,86046,85255,171301,12186,11510,23696,98091,89632,974345,187723,74077,87749,161826,1247953,852753,0.683321407
Cluster 3,Cluster 2,Cluster 3,PUNJAB,50362,953748,1273936,2227684,551,0.139187288,13103873,887070,873776,0.138935882,1760846,1096302,0.306970344,0.282164365,0.282164365,1472861,2569163,4832792,4203409,9036201,8271081,0.674292942,0.631193617,0.712871406,10436056,18707137,14639465,1319242,1747063,3066305,266396,299936,566332,2014660,2273540,24358999,4288200,1714074,2472299,4186373,27743338,10399146,0.374833987
Cluster 3,Cluster 1,Cluster 1,TAMIL NADU,130060,2767790,2861589,5629379,555,0.156678385,36009055,2338400,3119342,0.156097188,5457742,3472038,0.302007276,0.262797482,0.262797482,4665924,8137962,12212039,8097484,20309523,23797016,0.718498142,0.660861997,0.775928673,28040491,51837507,36137975,4520412,5087592,9608004,1111650,1188833,2300483,5845740,6479422,62405679,12325162,3652651,4540573,8193224,72147030,34917440,0.483976125
