State,Total,Male,Female,IT,IM,IF,LT,LM,LF,NoT,NoM,NoF,BPT,BPM,BPF,PT,PM,PF,MT,MM,MF,ST,SM,SF,HT,HM,HF,GT,GM,GF,Area,Density,UrbanPop,Prev,literacy,higher,higher_male,higher_female,literacy_male,literacy_female,urban_rate,growth_rate,Density_rate
NCT OF DELHI,13850507,7607234,6243273,4185743,1906387,2279356,9664764,5700847,3963917,96319,54600,41719,1534913,852975,681938,1967466,1093728,873738,1531690,929152,602538,1691495,1077847,613648,2832287,1686215,1146072,8747,5019,3728,16579,120,12905780,9420644,0.6977913516090061,0.3272464322064167,0.2824556927111789,0.2824556927111789,0.7493981386664325,0.6349100864242201,0.9317911611466642,0.4702293176559904,-0.7888169853356097
ODISHA,36804660,18660570,18144090,16967605,6668237,10299368,19837055,11992333,7844722,427084,278436,148648,5755797,3328385,2427412,5798954,3280957,2517997,2875760,1783236,1092524,2616294,1665245,951049,2353305,1647711,705594,8944,7495,1449,155707,236,5517238,31659736,0.5389821560639332,0.13526936534667078,0.09138468779641194,0.09138468779641194,0.6426563068545066,0.4323568721275082,0.14990596299490336,0.16250685097310982,0.16068093555802226
PUDUCHERRY,974345,486961,487384,277978,108203,169775,696367,378758,317609,10668,6038,4630,96631,48838,47793,182684,90538,92146,141966,74858,67108,125899,73213,52686,137294,84435,52859,1219,835,384,479,2034,648619,807785,0.7147026977097435,0.271374102602261,0.21734197265400587,0.21734197265400587,0.777799454165734,0.6516607028544228,0.665697468555799,0.20619347970066293,0.20612044046373723
PUNJAB,24358999,12985045,11373954,9602029,4542752,5059277,14756970,8442293,6314677,245444,125467,119977,2705535,1538004,1167531,3785055,1997111,1787944,2498421,1480902,1017519,3251624,1995039,1256585,2247726,1295433,952293,19906,8343,11563,50362,484,8262511,20281969,0.6058118398050757,0.22657975395458574,0.19522155619760728,0.19522155619760728,0.6501550822503888,0.555187492405895,0.33919747687497337,0.20101746531611403,0.20181664807790606
RAJASTHAN,56507188,29420011,27087177,28805178,11372854,17432324,27702010,18047157,9654853,1745915,864680,881235,8994262,5247851,3746411,7047927,4591114,2456813,4330343,3163807,1166536,2903808,2190474,713334,2672686,1983745,688941,7034,5456,1578,342239,165,13214375,44005990,0.4902386931729818,0.09881093357538867,0.05182721698905722,0.05182721698905722,0.6134313477992921,0.3564362945610759,0.23385299229542267,0.2840794628185845,0.2832215568835062
SIKKIM,540851,288484,252367,222516,99424,123092,318335,189060,129275,7680,5504,2176,109121,63583,45538,84475,48077,36398,47836,27788,20048,35862,22157,13705,33134,21737,11397,46,38,8,7096,76,59870,406457,0.5885816981016952,0.12765438170586724,0.09949795337742257,0.09949795337742257,0.6553569695373054,0.5122500168405536,0.11069592179731572,0.33064752237014,0.3268217794256219
TAMIL NADU,62405679,31400909,31004770,21881134,8591247,13289887,40524545,22809662,17714883,4184273,2372243,1812030,6492687,3432035,3060652,11652060,6365777,5286283,6967676,3793706,3173970,6005920,3626919,2379001,5185110,3191220,1993890,36055,27213,8842,130058,480,27483998,55858946,0.6493727117366995,0.17990486090216246,0.14132448007193732,0.14132448007193732,0.7264013280634647,0.5713599230053956,0.4404086044797301,0.11720115520976712,0.117597886648273
TELANGANA,76210007,38527413,37682594,36275684,15082625,21193059,39934323,23444788,16489535,1491086,838354,652732,9808301,5253668,4554633,12365169,6789316,5575853,4086083,2422208,1663875,5756834,3659857,2096977,6379031,4444887,1934144,44127,34006,10121,275045,277,20808940,66508008,0.524003665292932,0.15982142607597452,0.10724426243055347,0.10724426243055347,0.6085222488205995,0.43759023065131875,0.2730473440318671,0.14587715512393634,0.1455382184954329
TRIPURA,3199203,1642225,1556978,1177104,491518,685586,2022099,1150707,871392,27812,15172,12640,648085,348424,299661,641795,353322,288473,388737,225256,163481,159611,101656,57955,155816,106699,49117,116,100,16,10486,305,545750,2757205,0.6320633607807945,0.09863175297097433,0.06877939187323134,0.06877939187323134,0.7006999649865274,0.5596687942925334,0.170589362413076,0.1603065423136836,0.15995364871309903
UTTAR PRADESH,166197921,87565369,78632552,90478637,38663956,51814681,75719284,48901413,26817871,3272335,1961714,1310621,19226939,11278968,7947971,18694554,11368153,7326401,14329834,9819868,4509966,9121682,6561958,2559724,11026068,7877553,3148515,30477,21973,8504,240928,690,34539582,132061653,0.4555970588825837,0.12141082679367572,0.07270198988327378,0.07270198988327378,0.5584560832490754,0.3410530412392059,0.2078219859320623,0.2584873596879785,0.258808414279049
UTTARAKHAND,8489349,4325924,4163425,3383567,1317049,2066518,5105782,3008875,2096907,109432,60951,48481,1156890,625981,530909,1275501,696187,579314,977893,613423,364470,643644,423212,220432,939669,587459,352210,1481,1018,463,53483,159,2179074,7050634,0.6014338673083177,0.1866802743060746,0.1376522934843308,0.1376522934843308,0.695545044249506,0.5036495193260356,0.2566832863155938,0.20405469919442706,0.20610387661591859
WEST BENGAL,80176197,41465985,38710212,32979796,14013559,18966237,47196401,27452426,19743975,892580,522069,370511,16347698,8924186,7423512,11449999,6340039,5109960,8050643,4770466,3280177,4859685,3073368,1786317,5569288,3802135,1767153,5196,4228,968,88752,903,22427251,68077965,0.588658514197175,0.13014048296653433,0.09182171360880173,0.09182171360880173,0.6620468801114938,0.5100456437696596,0.2797245546580365,0.17771142248449995,0.17722461298600806
