Area Name,Division,Ownership,Household Size,Total number of female headed households,No exclusive room,1,2,3,4,5,6 and above
INDIA,Urban,Owned,9+," 4,93,216 "," 8,555 "," 54,016 "," 99,968 "," 1,06,406 "," 95,409 "," 49,431 "," 79,431 "
INDIA,Urban,Rented,All Households," 21,04,942 "," 1,16,210 "," 10,16,730 "," 6,29,306 "," 2,43,591 "," 70,186 "," 16,273 "," 12,646 "
INDIA,Urban,Rented,1," 3,21,930 "," 28,256 "," 1,97,605 "," 65,336 "," 22,614 "," 5,689 "," 1,209 "," 1,221 "
INDIA,Urban,Rented,2," 4,24,453 "," 25,797 "," 2,24,993 "," 1,17,373 "," 41,770 "," 10,561 "," 2,261 "," 1,698 "
INDIA,Urban,Rented,3," 4,75,425 "," 24,742 "," 2,26,384 "," 1,47,851 "," 56,854 "," 14,376 "," 3,054 "," 2,164 "
INDIA,Urban,Rented,4," 3,61,010 "," 16,675 "," 1,61,492 "," 1,18,526 "," 46,163 "," 13,271 "," 2,901 "," 1,982 "
INDIA,Urban,Rented,5," 2,34,101 "," 9,929 "," 98,918 "," 80,019 "," 31,809 "," 9,612 "," 2,267 "," 1,547 "
INDIA,Urban,Rented,608," 2,34,685 "," 8,898 "," 91,331 "," 82,591 "," 34,489 "," 11,975 "," 3,039 "," 2,362 "
INDIA,Urban,Rented,9+," 53,338 "," 1,913 "," 16,007 "," 17,610 "," 9,892 "," 4,702 "," 1,542 "," 1,672 "
INDIA,Urban,Any Other,All Households," 3,10,215 "," 21,894 "," 1,52,351 "," 81,763 "," 34,948 "," 11,768 "," 3,547 "," 3,944 "
INDIA,Urban,Any Other,1," 59,984 "," 6,093 "," 36,053 "," 10,763 "," 4,465 "," 1,560 ", 489 , 561 
INDIA,Urban,Any Other,2," 54,530 "," 4,268 "," 29,812 "," 12,796 "," 5,146 "," 1,596 ", 431 , 481 
INDIA,Urban,Any Other,3," 58,672 "," 4,058 "," 29,020 "," 15,727 "," 6,849 "," 1,959 ", 541 , 518 
INDIA,Urban,Any Other,4," 48,408 "," 2,837 "," 22,220 "," 14,285 "," 6,027 "," 1,974 ", 520 , 545 
INDIA,Urban,Any Other,5," 35,803 "," 1,963 "," 15,578 "," 11,124 "," 4,622 "," 1,557 ", 498 , 461 
INDIA,Urban,Any Other,608," 41,927 "," 2,184 "," 16,563 "," 13,877 "," 5,824 "," 2,078 ", 645 , 756 
INDIA,Urban,Any Other,9+," 10,891 ", 491 ," 3,105 "," 3,191 "," 2,015 "," 1,044 ", 423 , 622 
 JAMMU & KASHMIR,Total,Total,All Households," 1,58,673 "," 5,303 "," 38,691 "," 45,878 "," 33,545 "," 19,642 "," 6,889 "," 8,725 "
 JAMMU & KASHMIR,Total,Total,1," 11,621 ", 635 ," 5,999 "," 2,883 "," 1,201 ", 541 , 157 , 205 
 JAMMU & KASHMIR,Total,Total,2," 19,019 ", 832 ," 7,414 "," 6,055 "," 2,667 "," 1,327 ", 351 , 373 
 JAMMU & KASHMIR,Total,Total,3," 28,809 ", 976 ," 8,018 "," 8,975 "," 5,983 "," 3,103 ", 934 , 820 
 JAMMU & KASHMIR,Total,Total,4," 28,513 ", 895 ," 6,370 "," 8,933 "," 6,524 "," 3,613 "," 1,116 "," 1,062 "
 JAMMU & KASHMIR,Total,Total,5," 25,017 ", 691 ," 4,557 "," 7,595 "," 6,170 "," 3,469 "," 1,252 "," 1,283 "
 JAMMU & KASHMIR,Total,Total,608," 35,195 ", 967 ," 5,334 "," 9,649 "," 8,710 "," 5,615 "," 2,040 "," 2,880 "
 JAMMU & KASHMIR,Total,Total,9+," 10,499 ", 307 , 999 ," 1,788 "," 2,290 "," 1,974 "," 1,039 "," 2,102 "
 JAMMU & KASHMIR,Total,Owned,All Households," 1,52,470 "," 4,940 "," 35,733 "," 44,003 "," 32,919 "," 19,412 "," 6,816 "," 8,647 "
 JAMMU & KASHMIR,Total,Owned,1," 10,862 ", 567 ," 5,534 "," 2,722 "," 1,156 ", 527 , 154 , 202 
 JAMMU & KASHMIR,Total,Owned,2," 18,052 ", 767 ," 6,885 "," 5,777 "," 2,599 "," 1,313 ", 343 , 368 
 JAMMU & KASHMIR,Total,Owned,3," 27,478 ", 885 ," 7,340 "," 8,584 "," 5,866 "," 3,068 ", 921 , 814 
 JAMMU & KASHMIR,Total,Owned,4," 27,368 ", 834 ," 5,855 "," 8,544 "," 6,419 "," 3,566 "," 1,106 "," 1,044 "
 JAMMU & KASHMIR,Total,Owned,5," 24,100 ", 661 ," 4,182 "," 7,270 "," 6,045 "," 3,433 "," 1,237 "," 1,272 "
 JAMMU & KASHMIR,Total,Owned,608," 34,327 ", 927 ," 4,999 "," 9,385 "," 8,575 "," 5,554 "," 2,027 "," 2,860 "
